var,skew,kur,fft,class
18046.715211451487,-1.4965760145136189,-0.033871656788512235,4660067.859593543,yes
16284.298161801145,-1.5101074584537073,-0.08296850611258379,4209571.4097915655,yes
15486.399891508465,-1.50762088904505,-0.06704124910651899,4010797.4831590825,yes
14503.387220272538,-1.5028890781344606,0.007506146810062233,3746197.7880188595,yes
13588.201628807867,-1.5180483014102766,0.07051043430180501,3517243.54615911,yes
13143.800386527131,-1.4985785552007902,0.0366897144816898,3403973.7194932,yes
13359.370548493207,-1.487577569083595,-0.04580483655533193,3462045.710714913,yes
14302.934971318504,-1.49829021160434,-0.08833971144735196,3704748.654772018,yes
15727.143768188402,-1.5055863104573008,0.006064623126788549,4061761.322359829,yes
16004.160318883585,-1.4966921068267096,0.08608485098859676,4134184.4760955833,yes
15706.135962832255,-1.4923027558556101,0.050302165406778634,4059334.402162906,yes
14111.212784621544,-1.503672052216088,-0.029310881423400652,3657504.6824805522,yes
14605.72693537056,-1.5044643542272504,-0.0460565701702009,3787041.7354502277,yes
15011.610444593109,-1.4971280346356797,-0.08059166798631148,3897799.9401492244,yes
14044.332269116328,-1.5051873151190358,-0.009046782526010377,3649569.6334377686,yes
14344.443062955821,-1.5012688253726185,0.02187219196865361,3729827.793786242,yes
15125.290280690244,-1.5007496770881101,-0.02084123214347694,3931006.153906786,yes
15783.733690653025,-1.487002553777716,-0.055817640941580995,4101614.9522018516,yes
15601.83316058123,-1.4908170017873619,-0.06909367576824062,4053529.400686761,yes
15976.235786293806,-1.4985102650164082,-0.08067898265031231,4148196.5939593595,yes
15312.934330504555,-1.5115094150402224,0.026354756841886363,3974911.9240103895,yes
17191.657952229914,-1.5049374804556301,0.07629806905985557,4458444.368719502,yes
17515.510494300022,-1.486558521500776,0.07615613738043643,4536886.721201167,yes
15860.289249275114,-1.490071283291393,-0.031673118380337484,4109652.3198499256,yes
14627.527371594315,-1.490545727611176,-0.08283929507832256,3786597.780325048,yes
14034.049162123156,-1.4975781253034768,-0.04084215423672158,3632953.188291655,yes
13817.07408271177,-1.4908438538917848,-0.022212643148229544,3569974.041141304,yes
14373.255411894836,-1.4900017154939804,-0.020441604036038275,3710590.5029948195,yes
9262.30336807228,-1.4638991543128894,-0.10421210871619081,2424407.039753484,yes
9706.72750887613,-1.4772812970634692,-0.08438436917348056,2552090.499103516,yes
11235.892665650514,-1.4776872286774783,0.004826802537969306,2921688.577153006,yes
13123.09262789731,-1.48381689257838,0.04312510090272344,3399497.4078111127,yes
13169.62393680058,-1.4992012760233115,-0.00010591478850344892,3409741.240272171,yes
12362.663561783656,-1.4894016856955106,-0.03455959725476525,3207811.873865888,yes
11799.269563024387,-1.502482730411415,-0.039538669972300856,3066288.5488733286,yes
11733.995460349679,-1.5030128376243244,-0.02250642413051157,3053285.9190450553,yes
11027.66605351145,-1.4981066465690753,-0.00967571577240099,2877899.9245801307,yes
10507.74112304608,-1.4792275944827462,0.05537822348721279,2711910.3889642493,yes
10772.811048352272,-1.484955683379152,0.026707606724052292,2803113.6849561483,yes
11646.031851874595,-1.4970104035308633,-0.005348233849591582,3028308.295846951,yes
13100.153287331024,-1.4864707666076156,-0.030302281091708683,3394686.3468285436,yes
13747.98702504367,-1.5004549005667467,-0.039471995906864385,3564062.2748818668,yes
13714.326922632328,-1.5068928254789968,-0.03206434565034931,3546342.77646167,yes
13446.130672118663,-1.5022326100570342,-0.018588547681103455,3481134.973729262,yes
12368.87259655396,-1.496118367175908,-0.024056038027807872,3223079.840159313,yes
12956.41961142407,-1.5053992360256316,-0.007792911946273005,3373623.5238150577,yes
13100.91902207665,-1.4994166170571028,0.015786611816952588,3413278.9891799474,yes
13045.479475213799,-1.5049316899896787,0.027214877828840293,3399253.3778232858,yes
14537.187900710598,-1.4843635054379054,0.0376909526201655,3781225.6601913143,yes
15888.513787585827,-1.4799647928956035,0.020288215387187284,4130874.238734292,yes
15745.443381203844,-1.4793346753468573,-0.029804654557499748,4086870.212321343,yes
12726.226606112163,-1.5021697422785543,-0.04738184168202504,3324049.190275113,yes
12761.27867509824,-1.5041886579772883,-0.05788015717350284,3325496.3356756214,yes
12569.403933382117,-1.4903495642786917,-0.03853204011986691,3286049.707756917,yes
12222.405442073206,-1.4707692785258457,0.013406062139754663,3182087.1811688924,yes
11854.937236567908,-1.4979516990409176,0.01702304444648804,3104902.5360338604,yes
10576.492597687438,-1.4550893907438607,0.04400090868734958,2767988.0140593494,yes
25157.193212663486,-1.483042290351933,-0.01238059474523996,6474540.277956166,yes
35886.54926440657,-1.5091981425717136,0.012828741394418728,9209777.023471229,yes
42446.89221011469,-1.5078074378008304,0.018414249723527617,10883373.749257546,yes
41105.57795743237,-1.5141279068091593,-0.016367328476038712,10545909.309011191,yes
37267.30390655928,-1.5195949383239296,-0.03719765472512655,9532865.954990655,yes
33844.19023752484,-1.5117557486479287,-0.02601408843961414,8661728.827881338,yes
28455.906112045646,-1.4891707408105308,0.010612856731384717,7305830.792131843,yes
31454.139656399813,-1.4956389741071914,0.006920009911069015,8077776.0228978135,yes
32418.39572059901,-1.5070984385463455,-0.00611312350606156,8319393.326672383,yes
33331.290550372345,-1.5169545129587083,-0.040132236726240784,8558802.256509036,yes
34807.78158334177,-1.5176442776654604,-0.028905094759513007,8928175.291677658,yes
36142.72224959377,-1.5065291439367006,-0.005795461228106917,9267064.299331006,yes
32071.64485873461,-1.4944979343573457,-0.031499219015246514,8233463.589836461,yes
30112.68876904292,-1.5235149939999493,-0.03389158129855684,7725136.888418337,yes
31022.40673702233,-1.5063448364376641,-0.012179961959415182,7968976.359749544,yes
33046.43124718184,-1.503445509922053,0.03546683856699884,8480588.07618507,yes
33846.034998057854,-1.5094423300851665,0.01386742856485499,8684457.232226554,yes
34431.92227898839,-1.5193898546273532,-0.029963196825511972,8816601.729109686,yes
33026.00424565713,-1.5216380271878587,-0.020058410272443174,8464802.275991559,yes
32470.153674532667,-1.5271862562041822,-0.02844874015856002,8324433.158790363,yes
31785.376179616367,-1.5220670237069112,-0.03010247993689338,8152741.362992616,yes
31292.21435902932,-1.5168128490792678,-0.008100645650884399,8015127.886472741,yes
35683.133526085585,-1.5049340643127826,0.0233745232908863,9143900.281521797,yes
31953.808527007877,-1.50942448248575,0.012560649297621546,8180417.543341398,yes
30770.351650282428,-1.516835249048511,0.033787025615364556,7886889.744516633,yes
32216.699807061093,-1.5168681021869692,0.05534768181505239,8268357.884023689,yes
31238.122174268545,-1.5152935834002133,0.05747208289201008,8001755.478260918,yes
29776.63999106617,-1.5089518863029663,-0.026214896627875635,7623266.3696769485,yes
33478.86300442018,-1.5113663208834913,0.004612117538524182,8586513.174841791,yes
32621.324095705186,-1.5058511115246462,-0.028441138006834857,8364740.458903223,yes
32633.17584229873,-1.5165356832637868,-0.03187651991216263,8372780.110118174,yes
33684.21912571952,-1.5184903278721267,0.0050431707307368,8636062.47717132,yes
35182.86780315963,-1.5096231356939798,0.02963294643371376,9013585.511936001,yes
35531.54793596751,-1.525532501650855,-0.028222610181319687,9106781.502976248,yes
34016.03835610127,-1.5193414243785879,-0.03789213770726719,8708616.827749405,yes
33513.888206329764,-1.5190971084079192,-0.018165617362367097,8577297.29078242,yes
40399.831582812505,-1.5211936304416969,-0.026705377081252802,10329310.220896201,yes
39143.649899226904,-1.5196946774445996,0.0039024381196715585,10015554.65444427,yes
38264.74414704311,-1.5173554933285076,0.009836634069066529,9792860.497812863,yes
35973.22839725128,-1.5311781569291334,0.02530698784360567,9208762.843651898,yes
33036.505342455624,-1.5144450083443148,0.006696140247337175,8464434.740742052,yes
30982.43647498388,-1.5252927867944948,-0.049737776747107096,7958986.333290175,yes
30554.143004844074,-1.504566926195849,-0.043737066989160606,7847068.883041926,yes
38439.466935165285,-1.5155537761269584,0.03257987361622005,9875743.429539818,yes
17474.552699761705,-1.480348862669513,0.1161355371936171,4509165.163693504,yes
18198.78139120568,-1.4794030012026058,0.09304207431028506,4700301.613851067,yes
17107.540886010956,-1.4756840434859213,-0.03862344721007637,4410016.022118478,yes
13421.778477000304,-1.4796666839717414,-0.13188041625655372,3480538.496143764,yes
10127.21575969833,-1.489267953765318,0.10913528883352525,2651578.330029888,yes
10073.550965199374,-1.4739522034823325,0.09154039249783448,2631769.411189997,yes
11372.94606339113,-1.4663941278227994,-0.08320783289291318,2965319.4280187283,yes
12963.206503617326,-1.470356298055127,-0.15930461872177362,3374547.8169556702,yes
15141.024899892715,-1.472850950869938,-0.04612380649426643,3922873.775017022,yes
16493.70471656745,-1.4992849188364865,0.007471766564531914,4263277.64190642,yes
16945.61273620268,-1.4929796688722263,0.07054979401033415,4376185.848894451,yes
16276.148609503509,-1.4815606133369674,0.059410845712052344,4208395.0979839675,yes
9774.502409709425,-1.429644778981818,-0.10007059089661034,2564463.990864884,yes
12170.373243203723,-1.4553563583458635,-0.15899861661235173,3183855.8890969004,yes
15501.371832575793,-1.4898578176842352,-0.0671572748866755,4029986.0986085334,yes
16387.897072276388,-1.4783612468364669,-0.09536306823745345,4257583.614302246,yes
18728.901348221552,-1.4857882400765634,-0.03344881657599078,4865520.843785244,yes
21154.890040344282,-1.4913117944443828,-0.011865704918725652,5484408.843359103,yes
20809.35443315928,-1.5009552088768585,0.009203353986227075,5389052.377436124,yes
3642.228811039262,-1.4825491731669722,-0.056940138958082503,1001853.747144195,yes
3821.271263373258,-1.4596790408358717,-0.060809587274863006,1042537.3571738438,yes
3816.479813298196,-1.4573056545679361,-0.08005778407027526,1046908.5513470182,yes
3838.653510099575,-1.4576832919156855,-0.03529021155140179,1051948.094838495,yes
3691.471142082633,-1.4720328039983237,0.06372271740506204,1018641.1006377954,yes
3360.8835394927873,-1.46102778034462,0.1300623169170058,924731.2138007402,yes
3251.743004889966,-1.4593249141845217,0.12814632549071234,895757.9888054412,yes
2697.5838042215682,-1.4387533709421574,0.039345968111098535,766865.7780555014,yes
8101.290681944671,-1.4949274567860888,-0.016147872583304537,2123024.764996445,yes
8251.180184277702,-1.491399316123919,-0.016084187936423806,2170260.451292079,yes
8180.13394308477,-1.4939754175913769,-0.025709668191473235,2156523.1828496014,yes
8038.045691515959,-1.5022649337441127,-0.020793928483745144,2121653.5233342564,yes
8088.851777392025,-1.4919510743818523,-0.010568912274453732,2143369.3799209166,yes
8162.148551848129,-1.4859926094402247,-0.02009694367060706,2155615.163445013,yes
8051.995226276421,-1.483192978590481,-0.02204840156046953,2128674.0967772515,yes
8081.378422851545,-1.4845360301677277,-0.022293566554571716,2132327.312002762,yes
7852.411348571615,-1.4857213672191831,-0.010688601255659767,2080454.782334934,yes
56028.00441789515,-1.4886317841069512,0.010099491203942434,14328073.656368908,yes
56341.08116332734,-1.4904773040508512,0.007031510929108713,14390145.162316963,yes
56350.93826911646,-1.4914521468205455,0.010134178845659862,14373634.603385864,yes
56560.84653514153,-1.4960211924760207,0.008206052474687323,14415424.84320005,yes
56118.02598249448,-1.4948719616942672,0.006053631773780026,14286093.784747256,yes
61165.74446016221,-1.2835849352083624,0.029072373932241203,15534229.990252336,yes
56783.718306104085,-1.4899611755870181,0.008762900194560518,14433496.174513336,yes
56150.585509501965,-1.4922001294503395,0.015038930876291658,14269378.8634753,yes
56508.232811429094,-1.4893971369343744,0.011661161662704107,14365443.839849576,yes
56742.433180447624,-1.4913710998975307,0.01086326475315444,14410098.71618681,yes
56567.80823760493,-1.4885132756527053,0.0136686850757348,14376989.417965941,yes
56733.17984151114,-1.4911277078297516,0.0119465231728349,14420873.92926076,yes
56413.74089206283,-1.4954058742685747,0.01176801013239729,14346082.611739576,yes
56707.971556259334,-1.4943688222168428,0.010022909822466333,14440151.562910814,yes
57029.46136704427,-1.493926756433005,0.012380423422916906,14531238.163616888,yes
56400.475653625035,-1.4867394818167758,0.011688616174945562,14409752.495864302,yes
56663.95263039302,-1.4831371980566954,0.011485012159047325,14476878.026978146,yes
56834.46918163294,-1.4990366538272233,0.01128941564357364,14524086.305530656,yes
1029811.4814490704,-1.4924439920939871,-0.010234206393454423,262611944.20570275,yes
1029358.1359186808,-1.491157706744984,-0.008043269962596515,262412684.07967287,yes
1029708.9596080836,-1.492600557895772,-0.00885725275062858,262514764.96367115,yes
1027729.8015318364,-1.4895793856946344,-0.008145770465864635,261916237.82973462,yes
1030066.6483527964,-1.489320433924682,-0.00818474584709528,262423053.02330434,yes
1028004.5779420002,-1.491367021787873,-0.010372715005291484,261909006.76739568,yes
1028069.8235262771,-1.4904441173460519,-0.010469228127775128,261860807.54906845,yes
1030069.7773706916,-1.4897019652088999,-0.010709095635247438,262330923.76606247,yes
1025558.5308975321,-1.4889827512671998,-0.00957019616929206,261159318.70324382,yes
1029509.7798406819,-1.489943861417083,-0.0093497902630733,262075288.67218548,yes
1029988.5302925692,-1.4909185754331111,-0.008871305339039811,262252441.6330504,yes
1029679.1952855834,-1.4900794332632852,-0.010066774796438097,262098251.54023105,yes
1032104.2412222433,-1.4899352538881976,-0.00846516408929627,262700212.0381211,yes
1029286.9638917303,-1.4903620231663277,-0.008840550169049896,262025958.66817227,yes
1027524.8115665028,-1.4896692042685358,-0.008500145403074939,261512871.292305,yes
1025938.6343602152,-1.489716017109959,-0.010071966510301665,261125574.95754486,yes
1026532.029898966,-1.4897092184026275,-0.01016126793113705,261238002.67507142,yes
1025522.919718277,-1.4882421041436178,-0.010527520146044918,260965575.27299702,yes
1025322.9204490869,-1.4918365424208353,-0.009129240731589841,260941505.21035063,yes
1022698.7893589943,-1.4903346799452923,-0.00969302655609695,260215070.80785057,yes
1022574.3330748715,-1.4887093236129632,-0.008908792420516856,260251331.8769345,yes
1020457.7078086089,-1.4931382027457876,-0.011913653891890705,261230671.56237,yes
1026125.4102916468,-1.4873596636161854,-0.0065906709632226725,262712479.1668595,yes
1022997.1028248643,-1.4919678260942961,-0.010218264654866567,261914612.57741398,yes
